,AN,AP,AR,AS,BR,CH,CT,DL,DN,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TG,TN,TR,TT,UN,UP,UT,WB,date
0,1,1,0,0,3,0,3,4,0,0,6,0,1,0,3,4,19,0,0,3,0,0,5,0,0,1,2,0,5,0,4,3,0,73,0,4,0,1,2020-03-26
1,5,2,0,0,2,1,0,1,0,0,3,0,1,0,6,9,39,0,0,28,0,0,9,0,0,0,5,0,7,0,14,9,0,153,0,7,0,5,2020-03-27
2,3,6,0,0,2,0,1,9,0,0,8,0,2,0,13,12,6,0,0,28,0,0,10,0,0,0,0,0,4,0,8,4,0,136,0,16,1,3,2020-03-28
3,0,2,0,0,4,0,0,23,0,2,8,0,0,0,5,7,20,0,0,22,0,0,0,0,0,0,0,0,5,0,3,8,0,120,0,7,1,3,2020-03-29
4,1,2,0,0,0,5,1,25,0,0,7,0,1,0,11,5,32,0,0,17,0,0,8,0,0,0,3,0,20,0,7,17,0,187,0,24,0,1,2020-03-30
5,0,21,0,1,6,2,1,23,0,0,4,0,7,1,6,13,7,0,0,82,0,0,19,0,0,1,1,0,14,0,20,57,0,309,0,8,0,15,2020-03-31
6,0,67,0,15,3,2,0,32,0,0,13,0,0,0,7,9,24,0,0,33,0,0,32,0,0,1,4,2,27,0,30,110,0,424,0,13,0,0,2020-04-01
7,0,38,1,0,5,1,0,141,0,0,1,3,6,1,8,14,21,0,0,88,0,1,9,0,0,0,1,2,13,0,27,75,0,486,0,11,3,16,2020-04-02
8,0,15,0,7,2,0,0,93,0,1,7,0,9,0,5,4,9,1,0,64,0,0,47,0,0,15,6,0,46,0,75,102,0,560,0,46,6,0,2020-04-03
9,0,28,0,3,1,0,1,59,0,1,13,7,26,0,17,16,11,0,0,148,0,0,25,0,0,1,12,0,27,0,43,74,0,579,0,60,6,0,2020-04-04
10,0,64,0,0,0,0,0,58,0,0,20,1,6,1,14,7,8,0,0,112,0,0,14,0,0,18,3,0,60,0,62,86,0,609,0,44,4,27,2020-04-05
11,0,47,0,0,0,0,0,22,0,0,18,4,20,1,3,12,13,0,0,121,0,0,63,0,0,1,11,0,35,0,30,50,1,484,0,27,5,0,2020-04-06
12,0,11,0,2,6,0,0,51,0,0,29,9,33,0,16,12,9,0,0,150,0,0,34,0,0,2,20,0,42,0,40,69,0,573,0,27,0,11,2020-04-07
13,1,34,0,0,1,0,0,93,0,0,11,0,24,0,33,6,9,0,0,117,0,0,51,0,0,0,7,0,40,0,49,48,0,565,0,29,4,8,2020-04-08
14,0,15,0,1,19,0,8,51,0,0,76,1,3,9,26,16,12,0,0,229,0,0,70,0,0,6,24,0,80,0,18,96,0,813,0,49,0,4,2020-04-09
15,0,18,0,0,2,1,0,183,0,0,116,0,6,1,23,10,7,1,0,210,0,0,40,0,0,2,21,2,98,0,16,77,1,871,0,23,0,13,2020-04-10
16,0,24,0,0,4,0,7,166,0,0,90,4,3,3,17,8,10,0,0,187,0,0,78,0,0,4,7,0,139,0,16,58,0,854,0,19,0,10,2020-04-11
17,0,15,0,1,0,2,6,85,0,0,48,0,16,2,21,17,2,0,0,221,0,0,33,0,0,0,12,0,104,0,28,106,0,758,0,31,0,8,2020-04-12
18,0,19,0,2,2,0,0,356,0,0,56,0,1,5,25,15,3,2,0,352,1,0,52,0,0,1,6,0,93,0,61,98,0,1243,0,75,0,18,2020-04-13
19,0,45,0,1,0,0,2,51,0,0,78,1,2,3,8,13,8,0,0,346,0,0,127,0,0,5,8,0,108,0,52,31,0,1031,0,102,2,38,2020-04-14
20,0,41,0,0,6,0,0,17,0,0,116,2,6,1,22,19,1,1,0,236,6,0,197,0,0,0,2,0,71,0,6,38,0,886,0,75,0,23,2020-04-15
21,0,9,0,2,11,0,3,62,0,0,163,0,11,1,14,36,7,0,0,285,2,0,226,0,0,0,11,0,55,0,50,25,0,1061,0,70,0,18,2020-04-16
22,1,38,0,0,2,0,0,67,0,0,170,3,8,3,14,44,1,0,0,120,0,0,146,0,0,0,14,0,98,0,66,56,0,922,0,44,3,24,2020-04-17
23,2,31,0,0,1,2,0,186,0,0,277,1,9,1,13,25,4,0,0,327,2,0,92,0,0,1,23,0,122,0,43,49,0,1371,0,126,2,32,2020-04-18
24,1,44,0,0,10,3,0,110,0,0,367,0,18,8,13,6,2,0,0,552,0,0,5,0,0,0,10,0,127,0,49,105,0,1580,0,125,2,23,2020-04-19
25,1,75,0,0,17,0,0,78,0,0,196,0,1,5,14,18,6,0,0,466,0,0,78,0,0,13,1,0,98,0,14,43,0,1239,0,84,2,29,2020-04-20
26,1,35,0,0,13,1,0,75,0,0,239,0,4,0,12,10,19,0,0,552,1,0,67,0,0,5,6,0,159,0,56,76,0,1537,0,153,0,53,2020-04-21
27,1,56,0,0,17,0,0,92,0,0,229,0,9,0,27,9,11,0,0,431,0,0,35,0,0,4,27,0,153,0,15,33,0,1292,0,112,0,31,2020-04-22
